,0,1
42,78.14285714,4553.1
43,41.42857143,4610.4
54,119.0,6101.4
117,154.5714286,11820.3
130,161.8571429,12450.9
131,187.1428571,12462.3
145,194.2857143,13794.3
155,208.5714286,14894.1
158,134.5714286,15577.2
167,146.4285714,17505.3
175,232.8571429,18671.4
182,537.8571429,19196.4
188,219.5714286,20214.6
211,283.1428571,22556.1
217,191.1428571,22886.1
253,283.1428571,24659.7
257,312.2857143,24776.1
278,157.0,25455.0
286,340.4285714,26261.4
299,376.7142857,29246.4
301,438.7142857,33251.7
302,463.2857143,33445.5
303,397.2857143,33914.7
304,351.8571429,34264.8
305,400.7142857,36436.5
306,433.0,37160.1
307,408.2857143,37669.8
308,345.2857143,38706.3
309,344.4285714,40161.3
310,262.2857143,40866.6
311,438.5714286,41824.5
312,426.5714286,45123.0
313,416.7142857,49023.0
314,423.8571429,53072.4
315,362.1428571,58120.5
316,111.8571429,67466.1
317,386.2857143,72864.0
318,387.7142857,74462.1
319,407.0,77054.4
320,398.0,128859.0
321,227.7142857,144807.6
322,397.2857143,153987.0
323,208.7142857,194829.0
324,356.8571429,196683.6
325,272.1428571,204553.8
326,409.2857143,246128.4
327,377.8571429,658972.2
328,443.5714286,809959.8
329,438.2857143,940669.5
330,330.0,3824742.0
331,282.2857143,5417031.0
332,364.4285714,5484612.0
333,384.8571429,6878646.0
334,432.4285714,7984275.0
335,408.7142857,9465129.0
336,392.7142857,9544287.0
337,405.2857143,9727512.0
338,420.5714286,10213470.0
339,369.8571429,10258227.0
340,445.4285714,10910772.0
341,398.5714286,11092818.0
342,377.8571429,15112089.0
343,483.7142857,15143643.0
344,440.8571429,16329582.0
345,464.7142857,17492631.0
346,415.7142857,21191697.0
